,text,label_orig
0,"I'll never know why I had to go   Why I had to put up such a lousy rotten show   Boy, I was tough, packing all my stuff   Saying I don't need you anymore, I've had enough   And now, look at me standing here again 'cause I found out that   Ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma my life is here   Gotta have you near      As good as new, my love for you   And keeping it that way is my intention   As good as new and growing too   Yes, I think it's taking on a new dimension   It's as good as new, my love for you   Just like it used to be and even better   As good as new, thank God it's true   Darling, we were always meant to stay together      Feel like a creep, never felt so cheap   Never had a notion that my love could be so deep   How could I make such a dumb mistake   Now I know I'm not entitled to another break   But please, baby, I beg you to forgive 'cause I found out that   Ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma my life is here   Gotta get you near      I thought that our love was at an end but here I am again      As good as new, my love for you   And keeping it that way is my intention   As good as new and growing too   Yes, I think it's taking on a new dimension   It's as good as new, my love for you   Just like it used to be and even better   As good as new, thank God it's true   Darling, we were always meant to stay together      Yes the love I have for you feels as good as new   Darling, we were always meant to stay together  one time in date1 i was taking a test called the organization1 caps1 me and my friends get down with the organization1 early so we had to be patient too we had alot that we could do but the choices were being patient is hard sometimes it feels like ages have gone by but really num1 minutes have gone by sometimes patience requiers a lot of mental peace one time me and my dad were going to work in location1 the bus was late num2 minutes but it felt like a few weeks sometimes patience is good and bad good patience is when a team a goal the audience was patient enough so that the team could score a goal a bad patience is when youre late to work and traffic or the bus was late or you could wait sometimes you can distract yourselves while being patient texting calling a friend or talking or playing a game with a kid or with yourselves so you see that patience can be good or bad also requiers a lot of mental peace organization1",15
1,"Making somebody happy is a question of give and take   You can learn how to show it so come on, give yourself a break   Every smile and every little touch   Don't you know that they mean so much   Sweet sweet kisses so tender   Always will return to sender      Like a bang, a boom-a-boomerang   Dum-be-dum-dum be-dum-be-dum-dum   Oh bang, a boom-a-boomerang   Love is a tune you hum-de-hum-hum   So give it away, I think you'll learn   You'll get love in return   So bang, a boom-a-boomerang is love   A boom-a-boomerang is love      Love is always around and you can look for it anywhere   When you feel that you've found it my advice is to take good care   Never use it as a selfish tool   Never ever be such a fool   Every feeling you're showing   Is a boomerang you're throwing      Yes a bang, a boom-a-boomerang   Dum-be-dum-dum be-dum-be-dum-dum   Oh bang, a boom-a-boomerang   Love is a tune you hum-de-hum-hum   So give it away, I think you'll learn   You'll get love in return   So bang, a boom-a-boomerang is love      And if you're warm and tender   I'll kiss you, return to sender   Please surrender      Bang, a boom-a-boomerang   Dum-be-dum-dum be-dum-be-dum-dum   Oh bang, a boom-a-boomerang is love   A boom-a-boomerang is love  have you ever been in a situation when you know something good is coming or is going to happen and you just control yourself you ask your parents when and they say soon just have some patience well this has happened to me multiple times such as when we were going to location1 or location2 but on this special getting our new dog i decided to be a mature and be patient it was date1 time1 the day my family was getting a dog and i was so excited my stomach was filled with trying to fly out and explode in happiness everyone else in my family was the same way but just then i remembered my goal about being a mature and patient so i carried on with my normal everyday life eat breakfast hair get dressed brush teeth and go to school later when i came home my mom announced that my dad will arrive with my puppy in num1 minutes so i sat on my chair in my room and watched the clock tic and for about num2 minutes then i walked in to the living room where the rest of my family was sitting and waited till i heard a door suddenly boom the door slammed on my dads truck my mom brother and sister bolted to the door as i simply walked to see the puppy everyone screamed caps1 i hold her and shes my dog and lets name her also came in the conversation then my dad at me standing their quietly and handled me the dog you are being so patient you caps1 be the one to hold her first i was so proud of myself i was patient and i was the one that got to hold her first being patient caps1 pay off",30
2,"I'll never know why I had to go   Why I had to put up such a lousy rotten show   Boy, I was tough, packing all my stuff   Saying I don't need you anymore, I've had enough   And now, look at me standing here again 'cause I found out that   Ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma my life is here   Gotta have you near      As good as new, my love for you   And keeping it that way is my intention   As good as new and growing too   Yes, I think it's taking on a new dimension   It's as good as new, my love for you   Just like it used to be and even better   As good as new, thank God it's true   Darling, we were always meant to stay together      Feel like a creep, never felt so cheap   Never had a notion that my love could be so deep   How could I make such a dumb mistake   Now I know I'm not entitled to another break   But please, baby, I beg you to forgive 'cause I found out that   Ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma my life is here   Gotta get you near      I thought that our love was at an end but here I am again      As good as new, my love for you   And keeping it that way is my intention   As good as new and growing too   Yes, I think it's taking on a new dimension   It's as good as new, my love for you   Just like it used to be and even better   As good as new, thank God it's true   Darling, we were always meant to stay together      Yes the love I have for you feels as good as new   Darling, we were always meant to stay together  patience it take a lot to have patience one time my sister was trying to hate me but i didnt let her get to me caps1 i have patience caps2 i get made so im watching tv she standing the task caps3 can you move off infront of the tv and she moved she sat by me and keep on touch me it didnt bother me at all she asked me over and over caps4 im caps5 you i said caps6 i going to antil i make made i said so you dont bother me at get out my face caps2 i really get mad so she tried her best by trying to my home work so i said i dont care she had a smart comment whatever and i keep watching tv so i was so patient with her she said im go make mad so i ignored her she got mad and kept saying do you hear me i just walked outside and and said to myself i cant go let her get to me caps1 we mite end up fighting i went back in the house and sat down and i told her you cant make me mad so you might wont to stop so she said girl whatever and i was so ready to say something but i wasnt go give her nothing to feed off",15
3,"Take it easy with me, please   Touch me gently like a summer evening breeze   Take your time, make it slow   Andante, Andante   Just let the feeling grow      Make your fingers soft and light   Let your body be the velvet of the night   Touch my soul, you know how   Andante, Andante   Go slowly with me now      I'm your music   (I am your music and I am your song)   I'm your song   (I am your music and I am your song)   Play me time and time again and make me strong   (Play me again 'cause you're making me strong)   Make me sing, make me sound   (You make me sing and you make me)   Andante, Andante   Tread lightly on my ground   Andante, Andante   Oh please don't let me down      There's a shimmer in your eyes   Like the feeling of a thousand butterflies   Please don't talk, go on, play   Andante, Andante   And let me float away      I'm your music   (I am your music and I am your song)   I'm your song   (I am your music and I am your song)   Play me time and time again and make me strong   (Play me again 'cause you're making me strong)   Make me sing, make me sound   (You make me sing and you make me)   Andante, Andante   Tread lightly on my ground   Andante, Andante   Oh please don't let me down      Make me sing, make me sound   (You make me sing and you make me)   Andante, Andante   Tread lightly on my ground   Andante, Andante   Oh please don't let me down   Andante, Andante   Oh please don't let me down  i was patient before i went hunting with my dad before date1 i was in the blind with him for a long time waiting for deer to come in he said they come in at night or towards late afternoon we waited forever when they finally came in me and did not get one some other guys shot one they all run way we waited maybe ten more minutes and then went in we were all there from time1 until num1 i was patient the whole time",20
4,"I'll never know why I had to go   Why I had to put up such a lousy rotten show   Boy, I was tough, packing all my stuff   Saying I don't need you anymore, I've had enough   And now, look at me standing here again 'cause I found out that   Ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma my life is here   Gotta have you near      As good as new, my love for you   And keeping it that way is my intention   As good as new and growing too   Yes, I think it's taking on a new dimension   It's as good as new, my love for you   Just like it used to be and even better   As good as new, thank God it's true   Darling, we were always meant to stay together      Feel like a creep, never felt so cheap   Never had a notion that my love could be so deep   How could I make such a dumb mistake   Now I know I'm not entitled to another break   But please, baby, I beg you to forgive 'cause I found out that   Ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma ma my life is here   Gotta get you near      I thought that our love was at an end but here I am again      As good as new, my love for you   And keeping it that way is my intention   As good as new and growing too   Yes, I think it's taking on a new dimension   It's as good as new, my love for you   Just like it used to be and even better   As good as new, thank God it's true   Darling, we were always meant to stay together      Yes the love I have for you feels as good as new   Darling, we were always meant to stay together  the time i was patients with my little brothers i was baby sitting and they wouldnt to me or my other sister and i just relaxed and got on the floor and played with them after that all went well",8
5,"I can hear how you work, practising hard   Playing night and day, wo-oh   And it sounds better now, yes you improve   Everytime you play, wo-oh   But it's bad   You're so sad   And you're only smiling   When you play your violin      Dumb dumb diddle, to be your fiddle   To be so near you and not just hear you   Dumb dumb diddle, to be your fiddle   I think then maybe you'd see me, baby   You'd be mine   And we'd be together all the time   Wish I was dumb dumb diddle, your darling fiddle      But I think, you don't know that I exist   I'm the quiet kind, wo-oh   From the day when I first listened to you   You've been on my mind, wo-oh   You don't care   It's not fair   And you're only smiling   When you play your violin      Dumb dumb diddle, to be your fiddle   To be so near you and not just hear you   Dumb dumb diddle, to be your fiddle   I think then maybe you'd see me, baby   You'd be mine   And we'd be together all the time      Dumb dumb diddle, to be your fiddle   To be so near you and not just hear you   Dumb dumb diddle, to be your fiddle   I think then maybe you'd see me, baby   You'd be mine   And we'd be together all the time   Wish I was dumb dumb diddle, your darling find  once upon a time there was a named jack jack and a little brother named person1 and was num1 and jack was num2 caps1 since jack was a lot older than person1 and caps2 was his brother caps2 had to watch him a lot jack had a lot of patients since caps2 had to watch him every night because his parents worked late but caps2 still thought his brother was annoying but see his parents knew that if they paid him when caps2 would keep watching him so caps2 did but one day when little brother person1 would not stop complaining because caps2 did not get his way jack finally got mad and said if you dont stop caps3 than i will not watch you anymore and yea will half to go to day care caps1 person1 day care so caps2 stoped right away caps2 was very mad at his brother because caps2 was never like this to him so caps2 wanted to say caps2 was sorry and caps2 did and his brother for him i sorry that i was making you mad caps2 said caps3s ok his brother said caps4 try not to let caps3 happen again caps2 said then the next day when jack and his little brother were hanging out after school everything went well im happy that we are not mad at each other because i dont want to go to person1 said to his brother yah and i dont want you to go because then i will have nothing to do caps2 said the caps5",27
6,"Changing, moving in a circle   I can see your face in all of my dreams   Smiling, laughing from the shadows   When I hear your voice, I know what it means   I know it doesn't matter just how hard I try   You're all the reason for my life      Disillusion, disillusion's all you left for me   How can I forget you when my world is breaking down   You're all I had, you're all I want   Disillusion, disillusions, now that's all I have      Wishing, hoping, chasing shadows   Did I see your face somewhere in the crowd   Thinking, wondering what you're doing   I can't stop myself from crying out loud   They say my wound will heal and only leave a scar   But then, they never shared our love      Disillusion, disillusion's all you left for me   How can I forget you when my world is breaking down   You're all I had, you're all I want   Disillusion, disillusions, now that's all I have      Disillusion, disillusions, now that's all I have  one time my friend told me to read this book so l it from her the name of the book is called the caps1 caps2 its also a tv show on the organization1 i was reading the books and one of the main named person2 brother of person1 are vampires they turned into a caps1 because of a girl named person3 person2 and person1 died because they were trying to save person3 or so everyone thought person3 gave them enough blood so they wouldnt die they would become a caps1 they thought person3 was in the because that was were everyone was taking the vampires because the town found out there was vampires there person2 came back after num1 years searching for something to help get person3 out of the i think that is patience waiting for num1 years trying to find something to help get your true love out of trouble he waited a long time i believe patience is waiting a long time to do something and you dont complain while doing it",24
7,"You're so hot, teasing me   So you're blue but I can't take a chance on a chick like you   That's something I couldn't do   There's that look in your eyes   I can read in your face that your feelings are driving you wild   Ah, but girl you're only a child      Well I can dance with you honey   If you think it's funny   Does your mother know that you're out?   And I can chat with you baby   Flirt a little maybe   Does your mother know that you're out?      Take it easy (take it easy)   Better slow down girl   That's no way to go   Does your mother know?      Take it easy (take it easy)   Try to cool it girl   Take it nice and slow   Does your mother know?      I can see what you want   But you seem pretty young to be searching for that kind of fun   So maybe I'm not the one   Now you're so cute, I like your style   And I know what you mean when you give me a flash of that smile (smile)   But girl you're only a child      Well I can dance with you honey   If you think it's funny   Does your mother know that you're out?   And I can chat with you baby   Flirt a little maybe   Does your mother know that you're out?      Take it easy (take it easy)   Better slow down girl   That's no way to go   Does your mother know?      Take it easy (take it easy)   Try to cool it girl   Take it nice and slow   Does your mother know?      Well I can dance with you honey   If you think it's funny   Does your mother know that you're out?   And I can chat with you baby      Flirt a little maybe   Does your mother know that you're out?  on date1 me and my two friends were all laughing out but then i had that in num1 min i had to eat dinner so i walked inside and my friends were being so patient they didnt leave me and so i hurried as fast as i could so i didnt keep them waiting after i got done we went back up to the park and on the swing then we walked back to my home because they had to leave and go home that was my date1 it was a fun one",16
8,"You can dance, you can jive, having the time of your life   See that girl, watch that scene, diggin' the Dancing Queen      Friday night and the lights are low   Looking out for the place to go   Where they play the right music, getting in the swing   You come in to look for a king   Anybody could be that guy   Night is young and the music's high   With a bit of rock music, everything is fine   You're in the mood for a dance   And when you get the chance      You are the Dancing Queen, young and sweet, only seventeen   Dancing Queen, feel the beat from the tambourine   You can dance, you can jive, having the time of your life   See that girl, watch that scene, diggin' the Dancing Queen      You're a teaser, you turn 'em on   Leave them burning and then you're gone   Looking out for another, anyone will do   You're in the mood for a dance   And when you get the chance      You are the Dancing Queen, young and sweet, only seventeen   Dancing Queen, feel the beat from the tambourine   You can dance, you can jive, having the time of your life   See that girl, watch that scene, diggin' the Dancing Queen  tick tock tick tock every in my body me to run and look for my dad tick tock tick tock but i stayed put my eyes the tick tock tick tock and than i saw him tick tock tick tock i ran forward and gave him a giant hug the clock in my head stoped ticking hi caps1 caps2 and caps1 gonna tell you about a time i was patient i think that i was really patient when i got back from a trip with my friend to location1 i was waiting on the airport for my dad to come and pick me up and i was so exited you see i had been gone for two weeks and i was really it took everything i had to not go looking for him but i knew i couldnt just go running off i had to be very patient in the end it was worth it because it would have been harder to find him if i had went looking for him as you can see i think i was very patient when waiting for my dad in the airport thank you for listening",20
9,"Changing, moving in a circle   I can see your face in all of my dreams   Smiling, laughing from the shadows   When I hear your voice, I know what it means   I know it doesn't matter just how hard I try   You're all the reason for my life      Disillusion, disillusion's all you left for me   How can I forget you when my world is breaking down   You're all I had, you're all I want   Disillusion, disillusions, now that's all I have      Wishing, hoping, chasing shadows   Did I see your face somewhere in the crowd   Thinking, wondering what you're doing   I can't stop myself from crying out loud   They say my wound will heal and only leave a scar   But then, they never shared our love      Disillusion, disillusion's all you left for me   How can I forget you when my world is breaking down   You're all I had, you're all I want   Disillusion, disillusions, now that's all I have      Disillusion, disillusions, now that's all I have  patience patience is something i have nothing of i take after my mom in this area my mom is probably a little bit worse than me but we are both pretty bad sometimes we record t v shows and watch them later just because we dont want to have to wait through the caps1 some of the other things i hate to wait through are lines people being late and just plain old waiting around the longest amount of time i can stay patient for is about five minutes any longer than that puts me over the edge on by the way another thing is long car rides when i have nothing to do i just wish we could have a num1 hour drive turn into a num1 minute drive but still end up at the same place i really wish have more patience but i dont know how to get it i really hope that you have enough patience to get through my story",17
