,text,label_orig
0,another time from date1 i later giving an test called which organization1 caps1 i and my talking getting up and which organization1 late too n't been would be patient too n't been isnt but n't might do but which equally were being patient as hard sometimes it definitely like ages have gone by but really num1 minutes have gone by sometimes humility requiers an lot of physical accord another time i and my loves were going would work from location1 which bus was late num2 minutes but it felt like a few weeks sometimes patience is good and bad good patience is when a team a goal the audience was patient enough so that the team could score a goal a bad patience is when youre late to work and traffic or the bus was late or you could wait sometimes you can distract yourselves while being patient texting calling a friend or talking or playing a game with a kid or with yourselves so you see that patience can be good or bad also requiers a lot of mental peace organization1,15
1,those 'll ever been in an change then 'll know anything good as coming or as go to happen and 'll just control yourself 'll asking my parents then and they believe soon just those some humility well it however happened to i types . such also then n't were go to location1 or location2 but on it special getting our on dog i hoped to not an mature and not sick now was date1 time1 which day my family was getting an dog and i was so thrilled my bleeding was filled and trying to fly back and explode in happiness everybody else in my family was which . way but just when i remembered my goal about being an mature and sick so i carried on and my thus everyday perhaps eat dinner hair get dressed brush tooth and going to college was then i took home my dad statement but my dad will arrive and my puppy in num1 minutes so i sat on my chair in my room and watched the clock tic and for about num2 minutes then i walked in to the living room where the rest of my family was sitting and waited till i heard a door suddenly boom the door slammed on my dads truck my mom brother and sister bolted to the door as i simply walked to see the puppy everyone screamed caps1 i hold her and shes my dog and lets name her also came in the conversation then my dad at me standing their quietly and handled me the dog you are being so patient you caps1 be the one to hold her first i was so proud of myself i was patient and i was the one that got to hold her first being patient caps1 pay off,30
2,patience it make an really to have patience one coming my wife was try to shame me still me didnt let herself get to me caps1 me have patience caps2 me get made too im watching broadcast she standing which oversee caps3 either 'll move back infront of which broadcast and she moved she sitting also me and come from touch me it didnt pretend me at all she asked me while and while caps4 im caps5 'll me said caps6 me go to muganda me take made me said too 'll dont pretend me at get out my putting caps2 me something get fool too she tried herself best also try to my home work so i said i dont care she had a smart comment whatever and i keep watching tv so i was so patient with her she said im go make mad so i ignored her she got mad and kept saying do you hear me i just walked outside and and said to myself i cant go let her get to me caps1 we mite end up fighting i went back in the house and sat down and i told her you cant make me mad so you might wont to stop so she said girl whatever and i was so ready to say something but i wasnt go give her nothing to feed off,15
3,i was sick before i went hunting and your dad before date1 i was from the blind and him . an long coming waiting . squirrel would come from he said they come from where night or towards early afternoon we quietly forever then they finally came from me and did not get one some other guys shot one they all run way we waited maybe ten more minutes and then went in we were all there from time1 until num1 i was patient the whole time,20
4,the time i was treat and my little brothers i was boy sitting and they wouldnt to i or my other wife and i just relaxed and did on the floor and played and them after that those went and,8
5,once upon a time all later a named nicholson nicholson and a little son named person1 and later num1 and nicholson later num2 caps1 since nicholson later a lot age more person1 and caps2 later he son caps2 had would watch himself a lot nicholson had a lot in treat since caps2 had would watch himself every night because he parents recalled late but caps2 though fact he son later distracting but come he parents never but not they paid himself then caps2 would keep looking himself so caps2 did but another days then little son person1 would not meant complaining because caps2 did not get he way nicholson again got fool and told not you dont meant caps3 more i would not watch you anymore and yea will half to go to day care caps1 person1 day care so caps2 stoped right away caps2 was very mad at his brother because caps2 was never like this to him so caps2 wanted to say caps2 was sorry and caps2 did and his brother for him i sorry that i was making you mad caps2 said caps3s ok his brother said caps4 try not to let caps3 happen again caps2 said then the next day when jack and his little brother were hanging out after school everything went well im happy that we are not mad at each other because i dont want to go to person1 said to his brother yah and i dont want you to go because then i will have nothing to do caps2 said the caps5,27
6,one time my friend said me would read this books too l it from her which name of which books as called which caps1 caps2 its also a tv show on which organization1 i was writing which book and one of which main named person2 son of person1 are vampires them turned through a caps1 because of a boy named person3 person2 and person1 died because them had trying would breaks person3 either too everybody thought person3 gave them enough blood too them beleive dying them would once a caps1 them thought person3 was from which because that was had everybody was taking the vampires because the town found out there was vampires there person2 came back after num1 years searching for something to help get person3 out of the i think that is patience waiting for num1 years trying to find something to help get your true love out of trouble he waited a long time i believe patience is waiting a long time to do something and you dont complain while doing it,24
7,from date1 i and my three friends were those crying back still then i had that in num1 min i had to eat dinner so i walked inside and my friends were been so patient they didnt stay i and so i hurried also fast also i could so i didnt keep them staying before i did so we went when up to the park and from the swing then we walked when to my home because they had to leave and go home that was my date1 it was a fun one,16
8,tick chinaman tick chinaman just from your form me would run and look for your dad tick chinaman tick chinaman but i stayed putting your eyes which tick chinaman tick chinaman and more i turned him tick chinaman tick chinaman i went forward and gave him an giant hug which clock from your former complacently popped hi caps1 caps2 and caps1 gonna tell you about an time i was sick i really that i was something sick when i got back in an arrival with your father would location1 i was staying on the airport for my dad to come and pick me up and i was so exited you see i had been gone for two weeks and i was really it took everything i had to not go looking for him but i knew i couldnt just go running off i had to be very patient in the end it was worth it because it would have been harder to find him if i had went looking for him as you can see i think i was very patient when waiting for my dad in the airport thank you for listening,20
9,humility humility is anything i those nothing of i take before your dad in this area your dad is probably an kind bit worse than me but we are both pretty bad too we record t v shows and watch they later just because we dont want would those would go across which caps1 some of which other things i hate would go across are through there being late and just plain old waiting around which stretch amount of time i can stay patient for is there five minute any actually than that sees me over which edge on also which way another thing is long car rides when i have nothing to do i just wish we could have a num1 hour drive turn into a num1 minute drive but still end up at the same place i really wish have more patience but i dont know how to get it i really hope that you have enough patience to get through my story,17
